,type,id,geometry,OBJECTID,UtilityCompany,StartDate,EstimatedRestoreDate,Cause,ImpactedCustomers,County,OutageStatus,OutageType,GlobalID,OutageTypeColor,OutageStatusColor,IncidentId
282,Feature,31966582,"{'type': 'Point', 'coordinates': [-121.93074, 37.72453]}",31966582,PGE,1713976292000,1713997800000.0,PLNND SHUTDOWN,8,ALAMEDA,Active,Planned,6635b87d-d3e0-4bad-b4ad-346a608ab9d0,#a8a800,,2438053
283,Feature,31966583,"{'type': 'Point', 'coordinates': [-122.43126, 37.77288]}",31966583,PGE,1713976604000,1713984300000.0,,111,SAN FRANCISCO,Active,Not Planned,c8020297-8cb3-4438-8fdd-433fe15a8cb4,#ffaa00,,2438054
286,Feature,31966586,"{'type': 'Point', 'coordinates': [-121.7742, 37.37105]}",31966586,PGE,1713976449000,1713997800000.0,PLNND SHUTDOWN,1,SANTA CLARA,Active,Planned,f784d5d0-4a0f-4566-81ba-a80ee07b8fd3,#a8a800,,2438058
288,Feature,31966588,"{'type': 'Point', 'coordinates': [-121.87163, 37.49962]}",31966588,PGE,1713976620000,1713987000000.0,PLNND SHUTDOWN,9,ALAMEDA,Active,Planned,3e0348af-649e-44c4-b253-7c6114eea74b,#a8a800,,2438060
290,Feature,31966590,"{'type': 'Point', 'coordinates': [-122.20561, 37.34399]}",31966590,PGE,1713976540000,1713999600000.0,PLNND SHUTDOWN,2,SAN MATEO,Active,Planned,c0393423-6741-495e-9aff-3548e7e37545,#a8a800,,2438062
297,Feature,31966597,"{'type': 'Point', 'coordinates': [-122.02718, 37.2851]}",31966597,PGE,1713975120000,1713996000000.0,PLNND SHUTDOWN,17,SANTA CLARA,Active,Planned,60467c9b-d729-48fa-8ee3-0a68e86b0ece,#a8a800,,2438076
300,Feature,31966600,"{'type': 'Point', 'coordinates': [-122.51196, 38.56158]}",31966600,PGE,1713977235000,1713992400000.0,PLNND SHUTDOWN,7,NAPA,Active,Planned,27b2a005-6df5-4946-b26b-245c48e0bcf1,#a8a800,,2438079
303,Feature,31966603,"{'type': 'Point', 'coordinates': [-122.76946, 38.46478]}",31966603,PGE,1713977802000,1713987000000.0,,1,SONOMA,Active,Not Planned,70628e39-0298-44ef-a364-90cd7fd4fab7,#ffaa00,,2438083
304,Feature,31966604,"{'type': 'Point', 'coordinates': [-122.17539, 37.74162]}",31966604,PGE,1713977820000,1713991500000.0,,87,ALAMEDA,Active,Not Planned,665672c7-7ab8-46d2-be73-6772cc0dcdd0,#ffaa00,,2438084
306,Feature,31966606,"{'type': 'Point', 'coordinates': [-122.21409, 38.08807]}",31966606,PGE,1713978060000,1713996000000.0,PLNND SHUTDOWN,20,SOLANO,Active,Planned,caa0dc45-4884-41d5-a791-e3cf03557a00,#a8a800,,2438086
309,Feature,31966609,"{'type': 'Point', 'coordinates': [-122.04547, 37.66259]}",31966609,PGE,1713978566000,1713995100000.0,,1,ALAMEDA,Active,Not Planned,0a66bdc1-5cc4-4672-9fa0-ba242fba0063,#ffaa00,,2438090
310,Feature,31966610,"{'type': 'Point', 'coordinates': [-122.47258, 37.74307]}",31966610,PGE,1713978628000,1713994200000.0,,1,SAN FRANCISCO,Active,Not Planned,90665d8b-59bc-4aa3-bcc8-b2a8d329b5a3,#ffaa00,,2438091
